SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250210,천안,천안청과㈜,엽경채류,배추,우거지,2630,1kg 상자,3,배추,엽경채류,배추,340101
20250210,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,10,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,기타배추,35000,2kg 상자,2,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,기타배추,20400,1kg 상자,10,배추,엽경채류,배추,340101
20250211,천안,천안농협(공),엽경채류,배추,쌈배추,16500,8kg 상자,64,배추,엽경채류,배추,340101
20250211,천안,천안농협(공),엽경채류,배추,기타배추,9825,1kg 상자,75,배추,엽경채류,배추,340101
20250211,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,24,배추,엽경채류,배추,340101
20250211,천안,천안농협(공),엽경채류,배추,쌈배추,22000,10kg 상자,630,배추,엽경채류,배추,340101
20250211,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,240,배추,엽경채류,배추,340101
20250212,천안,천안농협(공),엽경채류,배추,기타배추,19530,1kg 상자,46,배추,엽경채류,배추,340101
20250212,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,12,배추,엽경채류,배추,340101
20250212,천안,천안농협(공),엽경채류,배추,월동배추,9000,12kg 그물망,180,배추,엽경채류,배추,340101
20250212,천안,천안농협(공),엽경채류,배추,쌈배추,23500,8kg 상자,80,배추,엽경채류,배추,340101
20250213,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,10,배추,엽경채류,배추,340101
20250214,천안,천안청과㈜,엽경채류,배추,저장배추,12292.857,12kg 상자,12468,배추,엽경채류,배추,340101
20250214,천안,천안농협(공),엽경채류,배추,기타배추,10333.333,1kg 상자,4,배추,엽경채류,배추,340101
20250214,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,120,배추,엽경채류,배추,340101
20250214,천안,천안농협(공),엽경채류,배추,쌈배추,27000,8kg 상자,40,배추,엽경채류,배추,340101
20250214,천안,천안농협(공),엽경채류,배추,월동배추,8083.333,12kg 그물망,660,배추,엽경채류,배추,340101
