date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-01-23,Cabbage,Suncheon,5205
2025-01-23,Cabbage,Pohang,5245
2025-01-23,Cabbage,Andong,3660
2025-01-23,Cabbage,Changwon,5410
2025-01-23,Cabbage,Gimhae,4470
2025-01-23,Cabbage,Jeju,5635
2025-01-24,Cabbage,Seoul,4562
2025-01-24,Cabbage,Busan,5375
2025-01-24,Cabbage,Daegu,4860
2025-01-24,Cabbage,Incheon,5355
2025-01-24,Cabbage,Gwangju,4580
2025-01-24,Cabbage,Daejeon,4527
2025-01-24,Cabbage,Ulsan,5275
2025-01-24,Cabbage,Sejong,3500
2025-01-24,Cabbage,Suwon,5275
2025-01-24,Cabbage,Seongnam,4220
2025-01-24,Cabbage,Goyang,4220
2025-01-24,Cabbage,Yongin,3500
2025-01-24,Cabbage,Chuncheon,7000
2025-01-24,Cabbage,Gangneung,3750
2025-01-24,Cabbage,Cheongju,5775
2025-01-24,Cabbage,Cheonan,3500
2025-01-24,Cabbage,Jeonju,4690
2025-01-24,Cabbage,Suncheon,5205
2025-01-24,Cabbage,Pohang,5245
2025-01-24,Cabbage,Andong,3500
2025-01-24,Cabbage,Changwon,5250
2025-01-24,Cabbage,Gimhae,3750
2025-01-24,Cabbage,Jeju,5635
2025-01-31,Cabbage,Seoul,4500
2025-01-31,Cabbage,Busan,5435
2025-01-31,Cabbage,Daegu,4940
2025-01-31,Cabbage,Incheon,5380
2025-01-31,Cabbage,Gwangju,4660
2025-01-31,Cabbage,Daejeon,4660
2025-01-31,Cabbage,Ulsan,5440
2025-01-31,Cabbage,Sejong,3500
2025-01-31,Cabbage,Suwon,5275
2025-01-31,Cabbage,Seongnam,3440
2025-01-31,Cabbage,Goyang,2380
2025-01-31,Cabbage,Yongin,3500
2025-01-31,Cabbage,Chuncheon,7000
2025-01-31,Cabbage,Gangneung,3990
2025-01-31,Cabbage,Cheongju,6075
2025-01-31,Cabbage,Cheonan,3500
2025-01-31,Cabbage,Jeonju,4690
2025-01-31,Cabbage,Suncheon,5380
2025-01-31,Cabbage,Pohang,5245
2025-01-31,Cabbage,Andong,3500
2025-01-31,Cabbage,Changwon,5250
2025-01-31,Cabbage,Gimhae,3990
2025-01-31,Cabbage,Jeju,5635
2025-02-03,Cabbage,Seoul,4661
2025-02-03,Cabbage,Busan,5760
2025-02-03,Cabbage,Daegu,4940
2025-02-03,Cabbage,Incheon,5300
