date,cabbage,radish,garlic,onion,daikon,cilantro,artichoke,cabbage_pred_Ridge,radish_pred_Ridge,garlic_pred_Ridge,onion_pred_Ridge,daikon_pred_Ridge,cilantro_pred_Ridge,artichoke_pred_Ridge,cabbage_pred_RandomForestRegressor,radish_pred_RandomForestRegressor,garlic_pred_RandomForestRegressor,onion_pred_RandomForestRegressor,daikon_pred_RandomForestRegressor,cilantro_pred_RandomForestRegressor,artichoke_pred_RandomForestRegressor,cabbage_pred_LGBM,radish_pred_LGBM,garlic_pred_LGBM,onion_pred_LGBM,daikon_pred_LGBM,cilantro_pred_LGBM,artichoke_pred_LGBM,cabbage_pred_XGBoost,radish_pred_XGBoost,garlic_pred_XGBoost,onion_pred_XGBoost,daikon_pred_XGBoost,cilantro_pred_XGBoost,artichoke_pred_XGBoost,cabbage_pred_MLP,radish_pred_MLP,garlic_pred_MLP,onion_pred_MLP,daikon_pred_MLP,cilantro_pred_MLP,artichoke_pred_MLP
2021-02-15,1637.75,1364.98,4714.75,1926.5,4434.04,4878.33,7723.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,2030.0,848.76,4508.95,1810.54,4237.64,4086.25,6167.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,1607.93,1187.85,4983.06,1847.07,4227.25,3612.02,5717.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,1733.54,819.4,4257.57,1876.08,4229.47,3813.79,4286.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,1873.74,1412.66,3660.02,1914.92,4585.28,3460.63,3946.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,1642.27,932.93,4522.19,1871.42,4807.13,4236.84,4085.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,1642.27,932.93,4522.19,1871.42,4807.13,4236.84,4085.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,1428.94,743.19,3663.61,2035.7,4891.1,4020.58,4055.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,2335.68,563.41,3967.17,1905.65,5120.44,4495.81,4108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,2930.49,1138.34,3647.68,1829.36,5243.69,4638.59,3866.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,2038.34,920.61,4053.93,1921.68,5005.17,4471.07,4156.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,2129.15,370.13,3537.8,1847.97,4854.02,4393.83,4203.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,1908.62,791.37,3718.65,1862.46,4896.88,5116.93,3537.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,1908.62,791.37,3718.65,1862.46,4896.88,5116.93,3537.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,1376.0,457.36,4025.97,1973.99,4786.99,5955.44,3874.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,1997.25,670.94,4111.05,2305.73,4618.7,6386.25,4299.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,1586.32,693.86,4091.46,1823.61,4852.38,7607.5,4115.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,2090.45,981.68,3593.87,1910.71,4745.43,6360.93,4899.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,2073.1,699.86,3289.28,1816.89,4920.75,6141.12,5078.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,2605.71,423.44,3747.14,1594.71,4780.1,6790.54,5537.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,2605.71,423.44,3747.14,1594.71,4780.1,6790.54,5537.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,2150.42,414.77,4669.38,1778.38,4395.08,7254.13,5669.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,2066.85,646.68,4633.78,1942.24,4022.28,7800.82,4914.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,2179.67,570.69,4350.76,1819.66,3870.54,7126.83,5814.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,2130.48,372.57,4288.6,1710.86,3391.52,7385.31,5763.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2321.07,685.22,3884.58,1678.0,3659.53,7758.51,5700.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,2009.57,697.09,3557.34,1937.93,3496.04,8921.27,5988.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,2009.57,697.09,3557.34,1937.93,3496.04,8921.27,5988.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,2295.68,843.4,4151.84,1714.75,3558.67,10315.3,5255.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,2568.87,604.22,4327.41,1830.56,3893.89,9116.8,5706.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,2288.81,496.76,4033.7,1923.09,3240.79,7961.9,5356.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,2407.26,535.25,4119.83,1919.53,3464.6,7666.02,5610.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2413.14,662.2,4130.92,1849.51,3356.93,8302.12,5530.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,2753.67,639.64,3094.98,1670.76,3350.61,9234.71,5125.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,2753.67,639.64,3094.98,1670.76,3350.61,9234.71,5125.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,2768.76,844.57,3634.53,1831.64,3469.52,9332.48,5504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,2567.5,645.62,4087.79,1840.23,3288.93,7632.43,4697.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,3260.24,321.13,3870.11,1731.56,3429.57,7577.68,4796.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,1533.54,434.71,3561.66,1510.03,4120.95,9261.45,4609.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2340.76,395.27,3594.49,1386.92,3626.8,9433.01,5090.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,2167.44,549.63,4303.9,1330.48,3325.67,8897.65,4907.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,2167.44,549.63,4303.9,1330.48,3325.67,8897.65,4907.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,1853.18,437.75,4027.19,1130.01,3217.91,9296.92,5706.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,2610.69,618.07,4105.48,1286.5,3274.73,10727.19,4973.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,2109.21,431.87,4384.61,1197.23,3211.17,9083.21,4597.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,2400.82,376.47,3557.23,1207.48,3023.13,10278.21,5146.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2219.43,704.12,4033.5,1203.07,3185.61,10138.58,5224.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,2610.39,829.78,3817.43,1240.05,3200.63,11224.74,5349.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,2610.39,829.78,3817.43,1240.05,3200.63,11224.74,5349.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,1603.7,441.05,4125.34,1356.17,3349.75,12975.7,5630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,2716.05,793.24,3580.17,1297.18,3113.92,12805.14,5196.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,2128.05,642.33,4590.38,1242.06,3346.9,9834.2,4694.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,2713.12,399.56,3925.15,1191.53,3583.65,8753.06,4877.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2665.0,654.62,4033.91,1176.46,3254.93,9949.11,5496.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,2462.67,455.51,4158.65,1067.14,3265.41,9872.48,5788.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,2462.67,455.51,4158.65,1067.14,3265.41,9872.48,5788.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,1989.05,597.09,3481.51,1043.6,3537.48,10232.81,5265.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,3061.02,552.53,4794.37,1127.56,3522.61,10211.89,5284.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,2869.05,557.83,4267.57,895.27,3025.88,9723.19,5975.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,1538.77,521.69,3998.56,1208.46,3450.48,10153.72,5002.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2488.32,856.63,4580.24,1012.83,3226.56,9383.07,4952.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,2154.4,582.76,3598.11,842.18,3067.23,8996.88,5022.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,2154.4,582.76,3598.11,842.18,3067.23,8996.88,5022.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,2529.33,374.73,7914.42,778.85,3391.52,7087.21,5097.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,1928.5,609.67,4232.89,856.99,3165.49,6521.93,5375.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,1506.57,837.69,3998.61,801.48,3200.49,5845.51,5692.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,2243.83,881.25,4949.59,819.79,2813.28,5630.58,5249.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,1780.54,836.56,4282.34,690.66,2619.0,6889.83,5459.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
